Address,Email,Fax,Name,Phone,Website
"15 Fourth Chin Bee Road, Singapore 619703",enquiries@youngerfood.com,+65 6261 1569,Younger (Singapore) Pte Ltd,+65 6266 6907 / +65 6266 1822,http://www.youngerfood.com/
"JTC Bedok Food City, 1550 Bedok North Ave 4, #04-01, Singapore 489950",sales@youtiaoman.com,-,You Tiao Man Pte Ltd,+65 6256 7288,https://www.youtiaoman.com/
"11 Third Chin Bee Road, Singapore 618687",ywh@yongwengroup.com,+65 6266 7100,Yong Wen Food (S) Pte Ltd,+65 6266 8100,http://www.ywgroup.com.sg/
"5 Bedok South Road, Singapore 469270",choonnan.ong@sg.yokogawa.com,+65 6241 9919,Yokogawa Engineering Asia Pte Ltd,+65 6241 9933,https://www.yokogawa.com/sg/
"3015 Bedok North St 5, #04-25 Shimei East Kitchen, Singapore 486350",enquiries@yikowei.com.sg,+65 6245 8607,Yikowei Pte Ltd,+65 6245 8603 / +65 6245 7105,http://www.yikowei.com.sg/
"3 Senoko Way, Singapore 758057",enquiries@yeos.com,+65 6752 3122,YHS (Singapore) Pte Ltd,+65 6752 2122,https://www.yeos.com.sg/
"15 Woodlands Loop, #03-50, Singapore 738322",enquiries@yewhwa.com,+65 6759 3783,Yew Hwa Food Industries Pte Ltd,+65 6759 8133 / +65 6759 8233,http://www.yewhwa.com/
"1 Senoko Ave, #02-04/05 Ascendas Foodaxis @ Senoko, Singapore 758297",anthonylee@yeeleeoils.com.sg,+65 6752 4823,Yee Lee Oils & Foodstuffs (S) Pte Ltd,+65 6257 8811,https://www.yeeleeoils.com.sg/
"25 Pandan Crescent, #03-05 Tic Tech Building Lobby A, Singapore 128477",admin@yct.com.sg,+65 6284 4946,YCT Import & Export Pte Ltd,+65 6282 8503 / +65 6282 8389,http://www.yct.com.sg/
"8 Jurong Pier Road, Singapore 619160",sales@yangkee.com,+65 6264 0261,Yang Kee Logistics Pte Ltd,+65 6430 4388,https://www.yangkee.com/
"237 Alexandra Road, #03-09/10 The Alexcier, Singapore 159929",info@yakun.com,+65 6222 9711,Ya Kun (S) Pte Ltd,+65 6222 4567,http://www.yakun.com/
"3015 Bedok North St 5, #05-13 Shimei East Kitchen, Singapore 486350",contact@wulihaofood.com,+65 6245 8279,Wu Li Hao Pte Ltd,+65 6245 8278,http://www.wulihaofood.com/
"1 Kallang Junction, #05-01, Singapore 339263",whcontactus@wohhupfood.com,+65 6776 0004,Woh Hup Food Industries Pte Ltd,+65 6593 8355,http://www.wohhupfood.com/
"20 Bedok South Road, Singapore 469277",info@winson.com,+65 6741 4028,Winson Press Pte Ltd,+65 6741 4511,https://www.winson.com/
"18 Boon Lay Way, #05-95, Singapore 609966",info@winehours.com,-,Winehours Pte Ltd,+65 8356 5588,https://www.winehours.com/
"10 Mergui Road, #12-01 Cityscape @ Farrer Park, Singapore 219067",info@wineheritage.sg,-,Wine Heritage Pte Ltd,+65 9652 5951,https://www.wineheritage.sg/
"6 Yishun Industrial Street 1, #02-01 North View Bizhub, Singapore 768090",enquiry@win2food.com,+65 6352 8919,Win Win Food Singapore Pte Ltd,+65 6352 8918,http://www.win2food.com/
"224C Sumang Lane, #02-109, Singapore 823224",enquiries@wens.sg,-,Wen's Pte Ltd,-,https://www.wens.sg/
"3017 Bedok North St 5, #03-03 Gourmet East Kitchen, Singapore 486121",-,+65 6481 2209,Weiton Food Industries,+65 6482 6213,-
"58 Senoko Road, Singapore 758122",eugenetan@pereocean.com,+65 6259 8558,Wanin Industries Pte Ltd,+65 3157 1688,http://www.pereocean.com/
"52 International Road, #03-06, Singapore 619626",info@wahyubrand.com,-,Wahyu Delicacies Rempeyek Trading,+65 8183 1445,http://www.wahyubrand.com/
"25 Defu Lane 10, #01-200/202, Singapore 539206",info@wahhong.com.sg,+65 6382 3606,Wah Hong Co.,+65 6287 0559,http://www.wahhong.com.sg/
"18 Senoko South Road, Singapore 758089",vis@vitasoy.com.sg,+65 6759 5411,Vitasoy International Singapore Pte Ltd,+65 6759 2855,http://www.vitasoy.com.sg/
"3017 Bedok North St 5, #05-32/33 Gourmet East Kitchen, Singapore 486121",enquiry@vismark.com.sg,+65 6454 6689,Vismark Food Industries Pte Ltd,+65 6552 2161,http://www.vismark.com.sg/
"120 Lower Delta Road, #14-01 Cendex Centre, Singapore 169208",info@vegafoods.com,+65 6291 4527,Vega Foods Corp Private Ltd,+65 6411 0690,http://www.vegafoods.com/
"80 Raffles Place, #12-00 UOB Plaza 1, Singapore 048624",yap.gaysin@uobgroup.com,+65 6536 5303,United Overseas Bank Limited,+65 6539 3012 / +65 6539 5677,https://www.uob.com.sg/
"44 Woodlands Terrace, Singapore 738458",sales@unifood.com.sg,+65 6747 4202,Unifood International (S) Pte Ltd,+65 6841 3855,http://www.unisoy.com.sg/
"10 Fishery Port Road, Singapore 619732",enquiry@unicofoods.com,+65 6773 0080,Unico Foods Pte Ltd,+65 6778 0080,-
"37 Mactaggart Road, #07-03, Singapore 368083",lilchef@tvifood.com,+65 6284 9361,TVI Pte Ltd,+65 6909 3732,http://www.lilchef.com.sg/
"4 Kian Teck Drive, Singapore 628821",enquiry@tyinnovations.com,+65 6816 2944,TY Innovations Pte Ltd,+65 6779 4500,https://www.tyinnovations.com/
"56 Senoko Drive, Singapore 758235",edvin@tungsanfood.com,+65 6257 8634,Tungsan Food Industries Pte Ltd,+65 6257 6897,http://www.tungsanfood.com/
"48 Toh Guan Road East, #02-97 Enterprise Hub, Singapore 608586",raymond@firstfood.com.sg,+65 6273 9588,Tung Shun Pte Ltd,+65 6778 8895,http://www.tungshun.com.sg/
"1 Brooke Road, #02-17 Katong Plaza, Singapore 429979",sales@trigateway.com,+65 6348 0457,Tri Gateway Exports,+65 6348 1956,http://www.trigateway.com/
"1 Loyang Street, Singapore 508836",sales@transicom.com.sg,+65 6543 1351,Transicom Engineering Pte Ltd,+65 6543 0988,http://www.transicom.com.sg/
"1002 Tai Seng Ave, #01-2534, Singapore 534409",sales@tradewindsfood.com.sg,+65 6343 7370,Tradewinds Food Industries Pte Ltd,+65 6385 8385,https://www.tradewindsfood.com.sg/
"15 Woodlands Loop, #03-51 Woodlands East Industrial Estate, Singapore 738322",topchoic@singnet.com.sg,+65 6753 5100,TopChoice Food Industries (S) Pte Ltd,+65 6753 1677,http://www.topchoicesingapore.com/
"33 Senoko South Road, Singapore 758085",maxng@tspsonghe.com.sg,+65 6756 6756,Tong Seng Produce Pte Ltd,+65 6759 3600,https://www.tspsonghe.com.sg/
"7A Lichfield Road, Singapore 556827",sales@oeo.com.sg,+65 6386 9700,Toh Thye San Farm,+65 6386 9300,http://www.oeo.com.sg/
"21 Pandan Ave, #03-08, Singapore 609388",marketing@tonggarden.com.sg,+65 6265 4441,Tong Garden Food (S) Pte Ltd,+65 6264 8888,https://www.tonggarden.com.sg/
"10 Senoko South Road, Singapore 758097",tohli@singnet.com.sg,+65 6757 1171,Toh Li Food Products Pte Ltd,+65 6758 4567,-
"202 Pandan Loop, Singapore 128390",sales@tlfood.com.sg,+65 6506 2399,Tiong Lian Food Pte Ltd,+65 6266 6166,http://www.tlfood.com.sg/
"2 Woodlands Sector 1, #03-29 Woodlands Spectrum 1, Singapore 738068",enquiry@tobe-packaging.com,+65 6298 4221,Tobe Packaging Industries Pte Ltd,+65 6297 0555,http://www.tobe-packaging.com/
"65 Ubi Road 1, #02-53, Oxley Bizhub 1, Singapore 408729",trade@tigerfoods.co,+65 6909 5944,Tiger Foods Pte Ltd,+65 6909 5933 / +65 8111 1786,http://www.tigerfoods.co/
"28 Tai Seng Street, #04-03 Sakae Building, Singapore 534106",admin@tiffingourmet.com,-,Tiffin Gourmet Pte Ltd,+65 6012 8830 / +65 6012 8831,https://www.tiffingourmet.com/
"3 Phillip Street, #16-02A, Royal Group Building, Singapore 048693",info@thoughtfulfood.co,-,Thoughtful Food Pte Ltd,+65 9474 5142,https://www.thoughtfulfood.co/
"22 Senoko Way, Singapore 758044",tingsoon@thongsiek.com,+65 6754 4030,Thong Siek Food Industry Pte Ltd,+65 6756 0233,http://www.thongsiek.com/
"4 Defu Lane 9, Singapore 539246",-,+65 6288 7477,TheSeafoodCompany Pte Ltd,+65 6288 1411,https://www.theseafoodcompany.com.sg/
"33 Rochester Drive, #24-11, Singapore 138638",neelendra@njgroup.sg,-,The Happy Tree Pte Ltd,-,https://www.njrelish.com/
"42 Woodlands Terrace, Singapore 738457",sales@thaising.com,+65 6755 1969,Thai Sing Foodstuffs Industry Pte Ltd,+65 6755 2166,http://www.thaising.com/
"54 Cashew Road, #09-02 Cashew Park, Singapore 679637",sales@tengyunint.com.sg,+65 6762 6633,Teng Yun International Pte Ltd,+65 6769 5029,-
"1 Senoko Road, Singapore 758134",tyj@tyjfood.com,+65 6286 2222,Tee Yih Jia Food Manufacturing Pte Ltd,+65 6880 9888,http://www.tyjfood.com/
"15 Woodland Loop, #01-34, Singapore 738322",tdf_food@yahoo.com.sg,+65 6758 8567,TDF Food Pte Ltd,+65 6758 8138,http://www.tdffood.com.sg/
"37 Quality Road, Singapore 618808",thf@pacific.net.sg,+65 6265 1929,Tat Hui Foods Pte Ltd,+65 6261 1010,http://www.kokanoodles.com/
"32 Ang Mo Kio Industrial Park 2, #04-17 Sing Industrial Complex, Singapore 569510",cecil@tantraco.com.sg,+65 6482 4398,Tantraco Enterprise Pte Ltd,+65 6482 3575,http://www.tantraco.com.sg/
"3017 Bedok North St 5, #03-12/13 Gourmet East Kitchen, Singapore 486121",ray@tskfood.com,+65 6445 2918,Tan Seng Kee Foods Pte Ltd,+65 6445 2320,http://www.tskfood.com/
"8 Woodlands Terrace, Singapore 738433",roy@tsmfood.com,+65 6756 7296,Tan Soon Mui Food Industries,+65 6756 7626,http://www.tsmfood.com/
"Blk 632 Upper Thomas Road, #07-79, Singapore 787133",hocksay@gmail.com,+65 6224 8826,Tan Hock Say Pte Ltd,+65 6222 2706 / +65 6222 6954,-
"6 Defu Lane 2, Singapore 539466",ttfmpl@singnet.com.sg,+65 6280 2892,Tai Thong Food Mfg Pte Ltd,+65 6287 7166 / +65 6280 1783,-
"255 Pandan Loop, Singapore 128433",info@taisun.com.sg,+65 6778 2477,Tai Sun (Lim Kee) Food Industries Pte Ltd,+65 6779 6611,http://www.taisun.com.sg/
"12 Jalan Besut, Singapore 619566",taihua@singnet.com.sg,+65 6265 4077,Tai Hua Food Industries Pte Ltd,+65 6265 9911,http://www.taihua.biz/
"15 Woodlands Loop, #01-23, Singapore 738322",info@rosesyrup.com,+65 6759 1315,T.G. Kiat Co. (Pte) Ltd,+65 6758 9152,http://www.rosesyrup.com/
"2A Second Chin Bee Road, Singapore 618781",syntechchem@syntechchem.com,+65 6861 6827,Syntech Chemicals Pte Ltd,+65 6861 6828,https://www.syntechchem.com/
"3791 Jalan Bukit Merah, #04-02 e-Centre, Singapore 159471",spices@sweechoon.com.sg,+65 6535 2787,Swee Choon Company Pte Ltd,+65 6533 9922,http://www.sweechoon.com.sg/
"Block 1009 Aljunied Ave 4, #01-36, Singapore 389910",suvaifoodspteltd@gmail.com,-,Suvai Foods Pte Ltd,+65 6749 6750,https://www.suvaifoods.com/
"5 Burn Road, #06-02 Tee Yih Jia Food Building, Singapore 369972",organic@superlativefoods.com,-,Superlative Foods Pte Ltd,+65 3157 4300,https://www.superlativefoods.com/
"8A Admiralty Street, #01-37 FoodXchange @ Admiralty, Singapore 757437",enquiries@supremefood.sg,+65 6684 7727,Supreme Food Industries Pte Ltd,+65 6684 7767,https://www.shilepo.com/
"53 Ubi Ave 1, #05-04 Paya Ubi Industrial Park, Singapore 408934",slgarden@slg-group.com,+65 6743 8532,Sun Lim Garden Foodstuffs Pte Ltd,+65 6748 0362,http://www.slg-group.com/
"19 Woodlands Sector 1, Singapore 738080",enquiry@sunkee.com,+65 6417 0880,Sun Kee (Pte) Ltd,+65 6417 0888,http://www.sunkee.com/
"7 Fan Yoong Road, Singapore 629785",sales@beeglobe.com.sg,+65 6266 3359 / +65 6898 0900,SPW Food Industries Pte Ltd,+65 6262 0328 / +65 6898 1311,http://www.beeglobe.com.sg/
"9 Kaki Bukit Road 1, #B1-03 Eunos Technolink, Singapore 415938",nitin@spartanbizcorp.com,+65 6909 5416,Spartan Bizcorp Pte Ltd,+65 6909 5417,https://www.spartanbizcorp.com/
"65A Jalan Tenteram, #07-10, Singapore 328958",mike@sparkyproducts.com.sg,+65 6255 6455,Sparky Products Pte Ltd,+65 6255 6588,https://www.bennschocolate.com/
"15 Woodlands Loop, #02-50, Singapore 738322",admin@soonhuat.com,+65 6754 1022,Soon Huat Marine Product Trading,+65 6754 1033,http://www.soonhuat.com/
"18 Howard Road, #10-07 Novelty Biz Centre, Singapore 369585",jimmy.soh@solagriresources.com,+65 6396 8962,Sol Agri Resources Pte Ltd,+65 6396 8961,http://www.solagriresources.com/
"15 Woodlands Loop, #03-45, Singapore 738322",skytimehupkee@yahoo.com.sg,+65 6368 1973,Skytime Hupkee Foodstuff Pte Ltd,+65 6368 3309,http://www.skytimehupkee.com/
"27 Defu Lane 12, Singapore 539134",admin@sinmahgroup.com,+65 6383 1311,Sinmah Poultry Processing (S) Pte Ltd,+65 6383 1200,-
"Blk 3017 Bedok North Street 5, #03-12/13 Gourmet East Kitchen, Singapore 486121",-,+65 6337 7926,Singapore Noodles Manufacturers' Association,+65 6337 1011,-
"463 Tagore Industrial Ave, Singapore 787832",sales@shhks.com,+65 6552 5058,Sinhua Hock Kee Trading (S) Pte Ltd,+65 6552 6668,http://www.shhks.com/
"10 Dover Drive, Singapore 138683",michele.low@singaporetech.edu.sg,-,Singapore Institute of Technology (SIT),+65 6592 1946,http://www.singaporetech.edu.sg/
"40 Senoko Drive, Singapore 758225",terry@spore-food-delight.com,+65 6449 0588,Singapore Food Delight Manufacturer Pte Ltd,+65 6448 0622,http://www.spore-food-delight.com/
"10 Kallang Ave, #09-16 Aperia Tower 2, Singapore 339510",enquiry.singapore@ubm.com,-,Singapore Exhibition Services (Pte) Limited,+65 6233 6688,-
"12 Woodlands Link, Singapore 738740",nya01@singlong.com,+65 6289 7351,Sing Long Foodstuff Trading Co. Pte Ltd,+65 6284 5254,http://www.singlong.com/
"3015 Bedok North St 5, #01-07 Shimei East Kitchen, Singapore 486350",sales@sincerefood.com,+65 6246 0166,Sincere Culinary Development Pte Ltd,+65 6246 1978,http://www.sincerefood.com/
"15 Jalan Tepong, #04-19 Jurong Food Hub, Singapore 619336",sinshenghuat@yahoo.com.sg,+65 6266 6898,Sin Sheng Huat Coffee Pte Ltd,+65 6266 6808 / +65 6266 6818,-
"3017 Bedok North St 5, #05-06 Gourmet East Kitchen, Singapore 486121",dimsum@smhfood.com,+65 6442 7577,Sin Mui Heng Food Industries Pte Ltd,+65 6442 7677,http://www.smhfood.com/
"15 Woodlands Loop, #04-01/04, Singapore 738322",sinlihin@singnet.com.sg,+65 6754 5700,Sin Li-Hin Frozen Food Pte Ltd,+65 6755 3773,http://www.sinlihin.com.sg/
"8 Senoko South Road, #01-01 Chng Kee's Foodlink, Singapore 758095",keesauce@shdfood.com.sg,+65 6755 6656,Sin Hwa Dee Foodstuff Industries Pte Ltd,+65 6755 2262,http://www.chngkees.com.sg/
"994 Bendemeer Road, #03-06 B-Central, Singapore 339943",simplysocial@simplymadefoods.com,-,Simplymade Pte Ltd,+65 8233 5905,https://www.wearenoomoo.com/
"4 Ubi View, #03-00 Pioneers & Leaders Centre, Singapore 408557",shinjindairy@singnet.com.sg,-,Shin Jin Pte Ltd,+65 6764 1345 / +65 9787 7587,http://www.shinjindairy.com/
"8 Defu Lane 9, Singapore 539250",sshci@singnet.com.sg,+65 6284 5429,Sim Soon Heng Cooking Ingredients Pte Ltd,+65 6283 2868,https://www.ssh.sg/
"2 Bukit Batok St 23, #01-15 Bukit Batok Connection, Singapore 659554",sales.sg@cbfrozen.com,+65 6255 8634,Sigma Food Pte Ltd,+65 6252 2049,http://www.cylfood.com/
"180 Paya Lebar Road, #10-03A Yi Guang Factory Building, Singapore 409032",sales@shengaik.com,-,Sheng Aik Trading Pte Ltd,+65 6226 2850,http://www.shengaik.com/
"20 Bedok South Road, Singapore 469277",adrianfong@shikilabel.com,+65 6293 8168,Shiki Label Printing Industries Pte Ltd,+65 6293 1618,http://www.shikilabel.com/
"15 Woodlands Loop, #04-10/11, Singapore 738322",sharon@sheensupply.com.sg,+65 6481 3668,Sheen Supply,+65 6481 3688,-
+65 8222 3409,support@singaporefoodunited.com,-,SG Food United Pte Ltd,+65 8222 3409,https://www.singaporefoodunited.com/
"15 Jalan Tepong, #04-02/03 Jurong Food Hub, Singapore 619336",enquiries@senghuatbeancurd.com,+65 6287 7678,Seng Huat Bean Curd Pte Ltd,+65 6287 3571,http://www.senghuatbeancurd.com/
"24A Senoko South Road, Singapore 758099",sales@select.com.sg,+65 6852 3335,Select Group Pte Ltd,+65 6852 3333,http://www.select.com.sg/
"127 Defu Lane 10, Singapore 539234",kaikeng@camelnuts.com,+65 6383 0689,Seng Hua Hng Foodstuff Pte Ltd,+65 6383 3388,http://www.camelnuts.com/
"1 Jalan Gemala 2, Singapore 718798",scfeggs@singnet.com.sg,+65 6769 8628,Seng Choon Farm Pte Ltd,+65 6762 2858,http://www.sengchoonfarm.com/
"80 Marine Parade Rd, #09-08 Parkway Parade, Singapore 449269",info@segomo.com.sg,+65 6447 0383,Segomo Pte Ltd,+65 6447 2226,https://www.segomo.com.sg/
"100G Pasir Panjang Road, #07-27 Interlocal Centre, Singapore 118523",sales@senghong.com,+65 6535 7325,Seng Hong Company (Private) Limited,+65 6533 4888,http://www.senghong.com/
"100C Pasir Panjang Road, Singapore 118519",info@heavenlyrice.com,+65 6533 7509,See Hoy Chan (1988) Pte Ltd,+65 6535 5222,https://www.heavenlyrice.com/
"1B Senoko Crescent, Senoko Food Connection, Singapore 758284",sales@seahsspices.com,+65 6759 9552,Seah's Spices Food Industries Pte Ltd,+65 6759 9551,http://www.seahsspices.com/
"18 Boon Lay Way, #07-110 Tradehub 21, Singapore 609966",sales@seacold.com.sg,+65 6861 4766,Seacold Seafoods (S) Pte Ltd,+65 6861 5900,http://www.seacold.com.sg/
"1 Tuas Bay Close, #03-03 Liner @ Tuas, Singapore 636997",sales@seabiz.sg,-,Seabiz Trading Pte Ltd,+65 6352 9646,http://www.seabiz.sg/
"1 Kaki Bukit Road 1, #05-07 Enterprise One, Singapore 415934",sales@sbymeat.com,-,SBY Frozen Food Supply Pte Ltd,+65 6142 8483,https://www.sbymeat.com/
"1550 Bedok North Ave 4, #02-31 JTC Bedok Food City, Singapore 489950",otah@savoryorigin.com,+65 6284 3996,Savory Origin Pte Ltd,+65 6283 0022,https://www.savoryorigin.com/
"3017 Bedok North St 5, #03-24 Gourmet East Kitchen, Singapore 486121",info@santino.com.sg,+65 6242 0441,Santino Coffee Specialists Pte Ltd,+65 6448 5030,http://www.santino.com.sg/
"120 Lower Delta Road, #06-03 Cendex Centre, Singapore 169208",sales@sansesan.com,+65 6224 5913,San Sesan Global Pte Ltd,+65 6532 3839,http://www.sansesan.com/
"171 Kampong Ampat, #03-11 KA Foodlink, Singapore 368330",shirlee.chua@samsui.com.sg,-,Samsui Supplies & Services Pte Ltd,+65 6645 9341,https://www.samsui.com.sg/
"22 Chia Ping Road, Singapore 619975",sagafds@singnet.com.sg,+65 6261 8757,Saga Foodstuffs Manufacturing (Pte) Ltd,+65 6265 0190,http://www.sagafoodstuffs.com/
"2 Kallang Avenue, #05-19 CT Hub, Singapore 339407",enquiry@incarich.com,+65 6268 9679,Sacha Inchi Pte Ltd,+65 6268 7227,http://www.incarich.com/
"201 Sims Ave, Singapore 387504",richie@yuxiangyan.com,+65 6842 4828,S.K.Y. Birdnest Trading Pte Ltd,+65 6842 6855,http://www.yuxiangyan.com/
"55 Serangoon North Ave 4, #05-08, S9, Singapore 555859",marketing1@lifecompact.com.sg,+65 6853 5665,Robust & Life Compact Pte Ltd,+65 6758 5656,http://www.lifecompact.com.sg/
"10 Tampines North Drive 4, #05-09, Singapore 528553",roy@rhima.sg,-,Rhima Singapore Pte Ltd,+65 9107 8943,https://www.rhima.sg/
"90 Cecil Street, #12-00 RHB Bank Building, Singapore 069531",wong.chee.kay@rhbgroup.com,-,RHB Bank Berhad,+65 6320 0275,http://www.rhbbank.com.sg/
"3017 Bedok North St 5, #06-32 Gourmet East Kitchen, Singapore 486121",contact@redlipsfoods.com,+65 6448 8439,Red Lips Foods Pte Ltd,+65 6448 1048,http://www.redlipsfoods.com/
"1 Tampines North Drive 1, #01-06 T-Space, Singapore 528559",redsun@singnet.com.sg,+65 6842 1810,Redsun Singapore Pte Ltd,+65 6337 7133,http://www.redsunproducts.com/
"46 Senoko Drive, Singapore 758229",info@redgum.com.sg,+65 6759 1850,Red Gum Private Limited,+65 6754 2030,http://www.redgum.com.sg/
"27 Tuas Bay Walk, #04-04, Singapore 637127",cf@recipediagroup.com,-,Recipedia Group Pte Ltd,+65 8500 0700,https://www.churrossg.com/
"5 Ang Mo Kio Industrial Park 2A, #04-23, Singapore 567760",francis.rcse@gmail.com,-,RCS Global Ventures Pte Ltd,+65 6858 6960,-
"118 Pioneer Road, Singapore 639598",enquiry@radhaexports.com,-,Radha Exports Pte Ltd,+65 6220 2777,https://www.radhaexports.com/
"171 Kampong Ampat, #04-11/15 KA Foodlink, Singapore 368330",sales@qiji.com.sg,+65 6283 8573,Qi Ji Pte Ltd,+65 6283 8572,https://www.qiji.com.sg/
"87 Bukit Timah Road, Singapore 229834",info@sambu.com.sg,+65 6734 8601,Pulau Sambu Singapore Pte Ltd,+65 6734 7138,http://www.sambugroup.com/
"201 Keppel Road, Level 5 Office Block, Singapore 099419",sales.flourmills@prima.com.sg,+65 6277 6881,Prima Limited,+65 6277 7752,http://www.primaflour.com/
"8 Burn Road, #08-02 Trivex, Singapore 369977",lily@psfoodandbeverage.com.sg,-,PS Food & Beverage (S) Pte Ltd,+65 6219 2539,http://www.psfoodandbeverage.com.sg/
"15 Jalan Tepong, #06-08 Jurong Food Hub, Singapore 619336",pondokabang@singnet.com.sg,+65 6265 8002,Pondok Abang,+65 6265 8300,http://www.pondokabang.com/
"10 Ubi Crescent, #04-39 Ubi Techpark Lobby C, Singapore 408564",care@pomefresh.com,-,PomeFresh Organic Pte Ltd,+65 8800 1119,http://www.pomefresh.com/
"28 Riverside Road, #07-01, Singapore 739082",salesenquiry@polarpuffs.com.sg,+65 6269 0779,Polar Puffs & Cakes Pte Ltd,+65 6269 5877,http://www.polarpuffs-cakes.com/
"865 Mountbatten Road, #06-05 Katong Shopping Center, Singapore 437844",sales@point2pointexports.com,+65 6635 5699,Point to Point Exports Pte Ltd,+65 6635 5688,http://www.point2pointexports.com/
"7500A Beach Road, #15-322 The Plaza, Singapore 199591",customercare.sg@planworthfactor.com,-,Planworth Global Factoring (S'pore) Pte Ltd,+65 6291 9008,http://www.planworthfactor.com/
"19 Woodlands Link, Singapore 738728",sales@pinsi.com.sg,+65 6759 8177,Pin Si Kitchen Pte Ltd,+65 6758 8177,https://www.pinsi.com.sg/
"231A Pandan Loop, Singapore 128419",tjenchew@phoonhuat.com,+65 6288 8619,Phoon Huat Pte Ltd,+65 6289 8989,http://www.phoonhuat.com/
"22 New Industrial Road, #02-03 Primax, Singapore 536208",pestbust@singnet.com.sg,-,Pestbusters Pte Ltd,+65 3163 4415,http://www.pestbusters.com.sg/
"10 Chin Bee Drive, Singapore 619861",admin@peoplebeehoon.com.sg,+65 6267 5869,People Bee Hoon Factory Pte Ltd,+65 6267 5758,http://www.peoplebeehoon.com.sg/
"52 International Road, Singapore 619626",parspore@singnet.com.sg,+65 6265 2768,Par International Holdings Pte Ltd,+65 6268 0112 / +65 6268 0796,-
"1 Yong Siak Street, Singapore 168641",yksam.pengkeenoodles@gmail.com,+65 6221 4790,Peng Kee Noodles Manufacturer Pte Ltd,+65 6223 1754 / +65 6776 4168,-
"Blk 132 Rivervale Street, #11-810, Singapore 540132",apriltan@pandagoods.asia,-,Panda Goods Pte Ltd,+65 9099 1999,https://www.skinship.com.sg/
